Platform,Source,Cost,Name,Rating
peacock,Movie,5,Schindler's List,96
peacock,Movie,5,Jurassic Park,94
peacock,Movie,5,Casino Royale,92
peacock,Movie,5,Psycho,55
peacock,Movie,5,The Bourne Ultimatum,91
peacock,Movie,5,A Beautiful Mind,91
peacock,Movie,5,Rear Window,91
peacock,Movie,5,The Bourne Identity,91
peacock,Movie,5,Vertigo,90
peacock,Movie,5,Children of Men,90
peacock,Movie,5,E.T. the Extra-Terrestrial,89
peacock,Movie,5,The Deer Hunter,89
peacock,Movie,5,The Bourne Supremacy,88
peacock,Movie,5,Casino,88
peacock,Movie,5,Pride & Prejudice,88
peacock,Movie,5,Zombieland,88
peacock,Movie,5,Serenity,88
peacock,Movie,5,In Bruges,87
peacock,Movie,5,Scent of a Woman,87
peacock,Movie,5,Short Term 12,87
peacock,Movie,5,Love Actually,87
peacock,Movie,5,American Psycho,86
peacock,Movie,5,American Gangster,86
peacock,Movie,5,Inside Man,86
peacock,Movie,5,3:10 to Yuma,86
peacock,Movie,5,Rope,85
peacock,Movie,5,Eastern Promises,84
peacock,Movie,5,Traffic,84
peacock,Movie,5,The Birds,84
peacock,Movie,5,Frost/Nixon,84
peacock,Movie,5,Fast & Furious 6,83
peacock,Movie,5,Field of Dreams,83
peacock,Movie,5,Sleepy Hollow,83
peacock,Movie,5,They Live,82
peacock,Movie,5,Shadow of a Doubt,82
peacock,Movie,5,The Holiday,82
peacock,Movie,5,Cape Fear,82
peacock,Movie,5,The Place Beyond the Pines,82
peacock,Movie,5,Frankenstein,81
peacock,Movie,5,The Meaning of Life,81
peacock,Movie,5,Ted,81
peacock,Movie,5,Chicken Run,81
peacock,Movie,5,Changeling,81
peacock,Movie,5,Wanted,80
peacock,Movie,5,Burn After Reading,80
peacock,Movie,5,Fast Times at Ridgemont High,80
peacock,Movie,5,The Prince of Egypt,80
peacock,Movie,5,The Motorcycle Diaries,80
peacock,Movie,5,Highlander,80
peacock,Movie,5,Margin Call,80
peacock,Movie,5,State of Play,79
peacock,Movie,5,Nosferatu the Vampyre,79
peacock,Movie,5,"Definitely, Maybe",79
peacock,Movie,5,Fearless,79
peacock,Movie,5,Jumanji,79
peacock,Movie,5,Starred Up,79
peacock,Movie,5,Dead Ringers,79
peacock,Movie,5,Secretary,79
peacock,Movie,5,Born on the Fourth of July,79
peacock,Movie,5,Quantum of Solace,79
peacock,Movie,5,The Land Before Time,78
peacock,Movie,5,The Kids Are All Right,78
peacock,Movie,5,Psych: The Movie,78
peacock,Movie,5,Drag Me to Hell,78
peacock,Movie,5,Black Christmas,78
peacock,Movie,5,Buried,78
peacock,Movie,5,Winchester '73,77
peacock,Movie,5,Spirit: Stallion of the Cimarron,77
peacock,Movie,5,The Lost World: Jurassic Park,77
peacock,Movie,5,Lucy,77
peacock,Movie,5,Law Abiding Citizen,77
peacock,Movie,5,Detachment,77
peacock,Movie,5,Fatal Attraction,77
peacock,Movie,5,Fletch,77
peacock,Movie,5,Antz,77
peacock,Movie,5,Bernie,77
peacock,Movie,5,Frenzy,76
peacock,Movie,5,Murderball,76
peacock,Movie,5,The Way I See It,76
peacock,Movie,5,Mamma Mia!,76
peacock,Movie,5,Peter Pan,76
peacock,Movie,5,You're Next,76
peacock,Movie,5,Marnie,76
peacock,Movie,5,Non-Stop,75
peacock,Movie,5,Taxi to the Dark Side,75
peacock,Movie,5,TransSiberian,75
peacock,Movie,5,What Maisie Knew,75
peacock,Movie,5,Stuck in Love,75
peacock,Movie,5,The Little Rascals,75
peacock,Movie,5,Spellbound,75
peacock,Movie,5,Trust,74
peacock,Movie,5,RED 2,74
peacock,Movie,5,The Trouble with Harry,74
peacock,Movie,5,Trolls World Tour,73
peacock,Movie,5,The Bad Lieutenant: Port of Call - New Orleans,73
peacock,Movie,5,Fair Game,73
peacock,Movie,5,Away We Go,73
peacock,Movie,5,Imperium,73
peacock,Movie,5,The Express,73
peacock,Movie,5,Nanny McPhee,73
peacock,Movie,5,The Road to El Dorado,73
peacock,Movie,5,Candy,73
peacock,Movie,5,Saboteur,72
peacock,Movie,5,Hunter Killer,72
peacock,Movie,5,Daybreakers,72
peacock,Movie,5,All Things Must Pass,72
peacock,Movie,5,2012,72
peacock,Movie,5,It's Complicated,72
peacock,Movie,5,Balto,72
peacock,Movie,5,My Friend Dahmer,72
peacock,Movie,5,Green Zone,72
peacock,Movie,5,Seeking a Friend for the End of the World,72
peacock,Movie,5,The Bone Collector,72
peacock,Movie,5,Serial Mom,72
peacock,Movie,5,Last Holiday,71
peacock,Movie,5,The Ultimate Gift,71
peacock,Movie,5,The Inevitable Defeat of Mister & Pete,71
peacock,Movie,5,Death Race,71
peacock,Movie,5,Jigsaw,71
peacock,Movie,5,Jurassic Park III,71
peacock,Movie,5,How to Make Money Selling Drugs,71
peacock,Movie,5,The Boys from Brazil,71
peacock,Movie,5,An American Crime,71
peacock,Movie,5,The Ninth Gate,71
peacock,Movie,5,What Women Want,71
peacock,Movie,5,A Guide to Recognizing Your Saints,71
peacock,Movie,5,Sign o' the Times,71
peacock,Movie,5,Funny People,71
peacock,Movie,5,Family Plot,71
peacock,Movie,5,Nas: Time Is Illmatic,71
peacock,Movie,5,Hostel,71
peacock,Movie,5,The Little Drummer Boy,70
peacock,Movie,5,The Kentucky Fried Movie,70
peacock,Movie,5,Sleepaway Camp,70
peacock,Movie,5,Bomb City,70
peacock,Movie,5,The Great Outdoors,70
peacock,Movie,5,Smokin' Aces,70
peacock,Movie,5,"Fat, Sick & Nearly Dead",70
peacock,Movie,5,To End All Wars,70
peacock,Movie,5,Land of the Dead,70
peacock,Movie,5,Accepted,70
peacock,Movie,5,Half Baked,70
peacock,Movie,5,Burlesque,70
peacock,Movie,5,Hulk,70
peacock,Movie,5,Neds,69
peacock,Movie,5,A Most Beautiful Thing,69
peacock,Movie,5,Confidence,69
peacock,Movie,5,Meet the Patels,69
peacock,Movie,5,"Farewell, My Lovely",69
peacock,Movie,5,Dave Made a Maze,69
peacock,Movie,5,James White,69
peacock,Movie,5,Dog Pound,69
peacock,Movie,5,Big Fan,69
peacock,Movie,5,Magnificent Obsession,69
peacock,Movie,5,The Strangers,69
peacock,Movie,5,BASEketball,69
peacock,Movie,5,Death of a Superhero,68
peacock,Movie,5,Fear of a Black Hat,68
peacock,Movie,5,The Producers,68
peacock,Movie,5,California Typewriter,68
peacock,Movie,5,Baby Mama,68
peacock,Movie,5,4th Man Out,68
peacock,Movie,5,"People, Places, Things",68
peacock,Movie,5,Sinbad: Legend of the Seven Seas,68
peacock,Movie,5,Nanny McPhee and the Big Bang,68
peacock,Movie,5,Palo Alto,67
peacock,Movie,5,Z for Zachariah,67
peacock,Movie,5,Being Evel,67
peacock,Movie,5,Something from Nothing: The Art of Rap,67
peacock,Movie,5,Kevin Hart: What Now?,67
peacock,Movie,5,Gilbert,67
peacock,Movie,5,Johnny English,67
peacock,Movie,5,The Public,67
peacock,Movie,5,Sleepless Night,67
peacock,Movie,5,The Exorcist III,67
peacock,Movie,5,Something New,67
peacock,Movie,5,I Am Big Bird: The Caroll Spinney Story,67
peacock,Movie,5,Curse of Chucky,67
peacock,Movie,5,Torn Curtain,67
peacock,Movie,5,Middle Men,66
peacock,Movie,5,I Now Pronounce You Chuck & Larry,66
peacock,Movie,5,Puncture,66
peacock,Movie,5,The Trotsky,66
peacock,Movie,5,Knocked Up,66
peacock,Movie,5,Major Payne,66
peacock,Movie,5,Promised Land,66
peacock,Movie,5,Psycho II,66
peacock,Movie,5,Leap Year,66
peacock,Movie,5,Party Girl,66
peacock,Movie,5,The Giant Mechanical Man,66
peacock,Movie,5,Nightbreed,66
peacock,Movie,5,Ashes in the Snow,66
peacock,Movie,5,Cloak & Dagger,65
peacock,Movie,5,Big Nothing,65
peacock,Movie,5,Ride Along,65
peacock,Movie,5,Duplicity,65
peacock,Movie,5,The House of Tomorrow,65
peacock,Movie,5,Snapshots,65
peacock,Movie,5,Bright Young Things,65
peacock,Movie,5,Perfect Bid: The Contestant Who Knew Too Much,65
peacock,Movie,5,Almost Adults,65
peacock,Movie,5,Wild Style,65
peacock,Movie,5,Little Fish,65
peacock,Movie,5,Adjust Your Tracking: The Untold Story of the VHS Collector,64
peacock,Movie,5,Cult of Chucky,64
peacock,Movie,5,Meadowland,64
peacock,Movie,5,Welcome to Me,64
peacock,Movie,5,Wonderland,64
peacock,Movie,5,A Very Sordid Wedding,64
peacock,Movie,5,Freeheld,46
peacock,Movie,5,Listen Up Philip,64
peacock,Movie,5,The Tale of Despereaux,64
peacock,Movie,5,Hamlet 2,64
peacock,Movie,5,Child's Play 2,64
peacock,Movie,5,What Richard Did,63
peacock,Movie,5,Repo Men,63
peacock,Movie,5,Gerry,63
peacock,Movie,5,Already Tomorrow in Hong Kong,63
peacock,Movie,5,Sex & Drugs & Rock & Roll,63
peacock,Movie,5,Hostel: Part II,63
peacock,Movie,5,Sparrows Dance,63
peacock,Movie,5,Sold,63
peacock,Movie,5,Afternoon Delight,63
peacock,Movie,5,The Crush,63
peacock,Movie,5,Backstreet Boys: Show 'Em What You're Made Of,62
peacock,Movie,5,Sukiyaki Western Django,62
peacock,Movie,5,Upside Down,62
peacock,Movie,5,Body Bags,62
peacock,Movie,5,Band of Robbers,62
peacock,Movie,5,Robin Hood,62
peacock,Movie,5,Life,62
peacock,Movie,5,Pope Francis: A Man of His Word,62
peacock,Movie,5,Bride of Chucky,62
peacock,Movie,5,Drive Angry,62
peacock,Movie,5,Taking Woodstock,62
peacock,Movie,5,Rampart,62
peacock,Movie,5,Fifty Shades of Grey,62
peacock,Movie,5,The Ron Clark Story,62
peacock,Movie,5,Half the Picture,62
peacock,Movie,5,Fletch Lives,62
peacock,Movie,5,Felony,61
peacock,Movie,5,Essential Killing,61
peacock,Movie,5,Topaz,61
peacock,Movie,5,Beethoven,61
peacock,Movie,5,Psych 2: Lassie Come Home,61
peacock,Movie,5,The Wolfman,61
peacock,Movie,5,Deliver Us from Eva,61
peacock,Movie,5,Ghosts of Cité Soleil,61
peacock,Movie,5,The Paperboy,61
peacock,Movie,5,Battlestar Galactica: The Plan,61
peacock,Movie,5,Mr. Magoo's Christmas Carol,61
peacock,Movie,5,Big Fat Liar,61
peacock,Movie,5,The 51st State,61
peacock,Movie,5,R.I.P.D.,61
peacock,Movie,5,Hyena,61
peacock,Movie,5,The Infidel,61
peacock,Movie,5,Cherrybomb,61
peacock,Movie,5,You Should Have Left,60
peacock,Movie,5,Red Lights,60
peacock,Movie,5,Cooties,60
peacock,Movie,5,The Condemned,60
peacock,Movie,5,The TV Set,60
peacock,Movie,5,Metropia,60
peacock,Movie,5,"You, Me and Dupree",60
peacock,Movie,5,Fifty Shades Darker,60
peacock,Movie,5,A Map of the World,60
peacock,Movie,5,Hangman,60
peacock,Movie,5,The Russian Five,60
peacock,Movie,5,Struck by Lightning,60
peacock,Movie,5,Deepsea Challenge,60
peacock,Movie,5,The Haunting in Connecticut,60
peacock,Movie,5,Supporting Characters,59
peacock,Movie,5,A Faster Horse,59
peacock,Movie,5,Chaos,59
peacock,Movie,5,The Mummy: Tomb of the Dragon Emperor,59
peacock,Movie,5,Down in the Valley,59
peacock,Movie,5,Your Highness,59
peacock,Movie,5,The Air I Breathe,59
peacock,Movie,5,The Stag,59
peacock,Movie,5,Zero Charisma,59
peacock,Movie,5,Poor Boy's Game,59
peacock,Movie,5,The Hitcher,59
peacock,Movie,5,The Outcasts,59
peacock,Movie,5,"Monster High: Boo York, Boo York",59
peacock,Movie,5,Kicking & Screaming,59
peacock,Movie,5,Open Grave,59
peacock,Movie,5,Unexpected,58
peacock,Movie,5,Welcome Home Roscoe Jenkins,58
peacock,Movie,5,The King,58
peacock,Movie,5,Dragon Blade,58
peacock,Movie,5,Hide Your Smiling Faces,58
peacock,Movie,5,The Runway,58
peacock,Movie,5,uwantme2killhim?,58
